,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,kakao_keyword,kakao_map_url,kakao_store_name,kakao_star_point,kakao_star_point_qty,kakao_blog_review_txt,kakao_blog_review_qty
0,커피기념일,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대흥동,36.3241222026491,127.426195565131,커피점 카페커피전문점 카페 다방비알콜 음료점업,대흥동%20커피기념일,https://place.map.kakao.com/742379704,커피기념일,5.0,2.0,,58.0
1,이현주나주곰탕,한식,설렁탕집,한식 음식점업,유천1동,36.3161709815897,127.396475068515,한식설렁탕집한식 음식점업,유천1동%20이현주나주곰탕,https://place.map.kakao.com/928125409,이현주나주곰탕,5.0,2.0,,0.0
2,아워홈화학,한식,한식/백반/한정식,한식 음식점업,신성동,36.3865800091113,127.362436377142,한식한식 백반 한정식한식 음식점업,신성동%20아워홈화학,https://place.map.kakao.com/9259510,아워홈 화학대전점,5.0,2.0,,0.0
3,유천집식당,한식,한식/백반/한정식,한식 음식점업,유천1동,36.3155543662528,127.388639855162,한식한식 백반 한정식한식 음식점업,유천1동%20유천집식당,https://place.map.kakao.com/21338888,유천집식당,2.0,1.0,"50년 전통의 단고기. 구수하고 진한 된장 베이스의 국물과 단고기의 쫄깃한 육질이 훌륭하지만, 탕에서 잡내가 많이 난다.",0.0
4,얌스식당,분식,라면김밥분식,분식 및 김밥 전문점,유천1동,36.3196218384994,127.392728743128,분식라면김밥분식분식 및 김밥 전문점,유천1동%20얌스식당,https://place.map.kakao.com/1143818347,얌스 유천점,5.0,4.0,이 동네에선 최고임 배달료도 안받고,1.0
5,신토불이떡집,제과제빵떡케익,떡전문,제과점업,문창동,36.3151713243334,127.437274952904,제과제빵떡케익떡전문제과점업,문창동%20신토불이떡집,https://place.map.kakao.com/17143085,신토불이떡집,5.0,4.0,,0.0
6,구엔샤,한식,한식/백반/한정식,한식 음식점업,용운동,36.327016665727,127.449497261973,한식한식 백반 한정식한식 음식점업,용운동%20구엔샤,https://place.map.kakao.com/21339307,구엔샤식당,5.0,4.0,,0.0
7,에이치앤디이더블드림스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중앙동,36.3317305379458,127.436030892904,커피점 카페커피전문점 카페 다방비알콜 음료점업,중앙동%20에이치앤디이더블드림스,https://place.map.kakao.com/646864396,에이치앤디이 더블드림스 코레일점,5.0,4.0,,0.0
8,녹원가든,한식,한식/백반/한정식,한식 음식점업,신성동,36.3817098732611,127.378893789357,한식한식 백반 한정식한식 음식점업,신성동%20녹원가든,https://place.map.kakao.com/9735704,녹원간장게장,2.9,7.0,"게  한마리 33,000이면 내가  만든다. 내가 만들어도 그맛난다. ",11.0
9,곰바우,한식,한식/백반/한정식,한식 음식점업,오정동,36.3573129860413,127.409071502547,한식한식 백반 한정식한식 음식점업,오정동%20곰바우,https://place.map.kakao.com/12333263,곰바우민물바다낚시,3.7,3.0,대전에선 이곳만한 낚시점이 없죠,1.0
10,제주포크오삼겹살,한식,갈비/삼겹살,한식 음식점업,갈마1동,36.3460935858778,127.368760247368,한식갈비 삼겹살한식 음식점업,갈마1동%20제주포크오삼겹살,https://place.map.kakao.com/15291841,제주포크오삼겹살,3.7,3.0,,0.0
11,둥구나무집식당,한식,한식/백반/한정식,한식 음식점업,대청동,36.4182589671597,127.47755671539,한식한식 백반 한정식한식 음식점업,대청동%20둥구나무집식당,https://place.map.kakao.com/11686856,둥구나무집,3.7,3.0,,0.0
12,명인통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,중앙동,36.3306495411797,127.430436023996,닭 오리요리후라이드 양념치킨치킨 전문점,중앙동%20명인통닭,https://place.map.kakao.com/390512907,부여통닭 대흥점,4.2,9.0,옛통맛집 다른 옛날통닭처럼 작지가않아서 좋아요,7.0
13,만석군,한식,갈비/삼겹살,한식 음식점업,오류동,36.3216026085288,127.406690539107,한식갈비 삼겹살한식 음식점업,오류동%20만석군,https://place.map.kakao.com/7865294,만석군,4.2,9.0,,0.0
14,수협바다회상,일식/수산물,횟집,한식 음식점업,둔산2동,36.3594952713619,127.387839540608,일식 수산물횟집한식 음식점업,둔산2동%20수협바다회상,https://place.map.kakao.com/27220029,수협바다마트 둔산점,4.2,9.0,,1.0
15,엽짚,커피점/카페,전통찻집/인삼찻집,비알콜 음료점업,둔산3동,36.349370692315,127.395996124891,커피점 카페전통찻집 인삼찻집비알콜 음료점업,둔산3동%20엽짚,https://place.map.kakao.com/33471846,엽짚,5.0,2.0,,0.0
16,BK푸드,일식/수산물,홍어전문,한식 음식점업,오정동,36.3573982800113,127.409917671443,일식 수산물홍어전문한식 음식점업,오정동%20BK푸드,https://place.map.kakao.com/21828705,비케이푸드,5.0,2.0,,0.0
17,송촌장패,한식,한식/백반/한정식,한식 음식점업,송촌동,36.3639338644922,127.438283556344,한식한식 백반 한정식한식 음식점업,송촌동%20송촌장패,https://place.map.kakao.com/27197166,장패 송촌점,3.7,3.0,대패삼겹살 너무맛있어요 콩나물이랑 김치도 적당히 익어서 같이 구워먹으니 굿굿~~,4.0
18,참이맛감자탕,한식,한정식전문,한식 음식점업,오류동,36.3217390426574,127.408761025151,한식한정식전문한식 음식점업,오류동%20참이맛감자탕,https://place.map.kakao.com/26926406,참이맛감자탕 오류점,2.3,3.0,고기에서 냄새나고 밥도 오래된 밥 느낌이었고 너무 실망스러워서 남기고 나왔습니다,1.0
19,동원국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,부사동,36.3151876965436,127.433109863097,분식국수 만두 칼국수분식 및 김밥 전문점,부사동%20동원국수,https://place.map.kakao.com/1852643319,동원국수,4.5,2.0,어머니는 콩국수 드셨는데 국물 엄청 찐하고. 사진 속 막국수도 맛있었어요~,3.0
20,대산농장식당,한식,한식/백반/한정식,한식 음식점업,대청동,36.3682660027244,127.475316900733,한식한식 백반 한정식한식 음식점업,대청동%20대산농장식당,https://place.map.kakao.com/21437944,대산농장식당,4.5,2.0,,0.0
21,비전칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,은행선화동,36.3283354307951,127.423357861053,분식국수 만두 칼국수분식 및 김밥 전문점,은행선화동%20비전칼국수,https://place.map.kakao.com/26329712,비전칼국수,4.5,2.0,,0.0
22,노다지막창,한식,곱창/양구이전문,한식 음식점업,신인동,36.3235666819973,127.445990942495,한식곱창 양구이전문한식 음식점업,신인동%20노다지막창,https://place.map.kakao.com/19387841,노다지막창,4.5,2.0,,0.0
23,안골손칼국수식당,분식,국수/만두/칼국수,분식 및 김밥 전문점,온천2동,36.3636255461719,127.357430968504,분식국수 만두 칼국수분식 및 김밥 전문점,온천2동%20안골손칼국수식당,https://place.map.kakao.com/21336920,안골손칼국수식당,3.5,6.0,,5.0
24,왕성한횟집,일식/수산물,횟집,한식 음식점업,비래동,36.3561840762448,127.450116474816,일식 수산물횟집한식 음식점업,비래동%20왕성한횟집,https://place.map.kakao.com/21338960,왕성한횟집,5.0,1.0,성인 10인분 시켰는데 야채랑 아주 푸짐하게 보내주셨습니다.회도 싱싱해서 아주 맛잇게 잘 먹었습니다.,1.0
25,동해야양푼이동태찌개,일식/수산물,수산물전문음식점-종합,한식 음식점업,중리동,36.3627869710637,127.424541255789,일식 수산물수산물전문음식점-종합한식 음식점업,중리동%20동해야양푼이동태찌개,https://place.map.kakao.com/17031292,동해야 양푼이동태찌개 중리점,5.0,1.0,,3.0
26,최고집잔치국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,덕암동,36.4476729031472,127.420378790202,분식국수 만두 칼국수분식 및 김밥 전문점,덕암동%20최고집잔치국수,https://place.map.kakao.com/10842088,최고집잔치국수 신탄진점,4.8,6.0,성지순례 다녀왔습니다! 특히 콩국수는 진짜네요 사장님 친절하시고 가성비가 어마어마하네요 근처에 갈 일이 있으면 꼭 다시 들르겠습니다,4.0
27,감나무집식당,한식,한식/백반/한정식,한식 음식점업,신탄진동,36.4693255867925,127.474000662521,한식한식 백반 한정식한식 음식점업,신탄진동%20감나무집식당,https://place.map.kakao.com/9689432,감나무집,1.0,1.0,주물럭 기대했는데 아쉬워요 ㅜㅜ ,0.0
